Timestamp	Setpoint	Temperature	Error	Sum	ProportionalFactor	IntegralFactor	DerivativeFactor	Control	LastCurrentMeasurement
518325	2430	3035	605	6058	60500	605	0	60100	46124
1518320	2430	3033	603	12099	60300	1209	0	60100	45978
2518320	2430	3028	598	18105	59800	1810	-1000	60100	45936
3518327	2430	3023	593	24061	59300	2406	-1000	60100	45913
4518335	2430	3017	587	29955	58700	2995	0	60100	45902
5518339	2430	3010	580	35784	58000	3578	0	60100	45904
6518344	2430	3003	573	41544	57300	4154	-1000	60100	45878
7518323	2430	2996	566	47235	56600	4723	-1000	60100	45865
8518335	2430	2989	559	52855	55900	5285	0	60100	45862
9518342	2430	2982	552	58404	55200	5840	0	60100	45872
518349	2430	2975	545	60100	54500	6010	0	60100	45870
1518318	2430	2968	538	60100	53800	6010	0	59810	45853
2518322	2430	2960	530	60100	53000	6010	-1000	58010	45854
3518331	2430	2953	523	60100	52300	6010	-1000	57310	45845
4518340	2430	2946	516	60100	51600	6010	-1000	56610	45853
5518318	2430	2939	509	60100	50900	6010	-1000	55910	45835
6518328	2430	2933	503	60100	50300	6010	-1000	55310	45831
7518338	2430	2926	496	60100	49600	6010	-1000	54610	45844
8518349	2430	2919	489	60100	48900	6010	-1000	53910	45835
9518327	2430	2913	483	60100	48300	6010	0	54310	45813
518333	2430	2906	476	60100	47600	6010	-1000	52610	45808
1518339	2430	2900	470	60100	47000	6010	-1000	52010	45820
2518347	2430	2894	464	60100	46400	6010	0	52410	45817
3518320	2430	2887	457	60100	45700	6010	-1000	50710	45794
4518329	2430	2881	451	60100	45100	6010	-1000	50110	45790
5518338	2430	2875	445	60100	44500	6010	-1000	49510	45791
6518348	2430	2869	439	60100	43900	6010	-1000	48910	45783
7518326	2430	2863	433	60100	43300	6010	-1000	48310	45770
8518336	2430	2858	428	60100	42800	6010	0	48810	45771
9518342	2430	2852	422	60100	42200	6010	0	48210	45762
518347	2430	2846	416	60100	41600	6010	-1000	46610	45767
1518322	2430	2841	411	60100	41100	6010	0	47110	45747
2518325	2430	2835	405	60100	40500	6010	0	46510	45732
3518328	2430	2829	399	60100	39900	6010	-1000	44910	44407
4518337	2430	2824	394	60100	39400	6010	-1000	44410	44859
5518346	2430	2819	389	60100	38900	6010	0	44910	43368
6518319	2430	2814	384	60100	38400	6010	0	44410	42895
7518324	2430	2809	379	60100	37900	6010	0	43910	42424
8518329	2430	2804	374	60100	37400	6010	0	43410	41946
9518334	2430	2799	369	60100	36900	6010	0	42910	41476
518339	2430	2794	364	60100	36400	6010	0	42410	40993
1518340	2430	2789	359	60100	35900	6010	-1000	40910	41564
2518347	2430	2785	355	60100	35500	6010	0	41510	40124
3518318	2430	2780	350	60100	35000	6010	-1000	40010	40705
4518327	2430	2776	346	60100	34600	6010	0	40610	39263
5518330	2430	2771	341	60100	34100	6010	-1000	39110	39834
6518339	2430	2767	337	60100	33700	6010	0	39710	38383
7518343	2430	2763	333	60100	33300	6010	0	39310	37999
8518348	2430	2759	329	60100	32900	6010	0	38910	38575
9518320	2430	2755	325	60100	32500	6010	0	38510	38186
518325	2430	2751	321	60100	32100	6010	0	38110	37798
1518325	2430	2747	317	60100	31700	6010	0	37710	37408
2518327	2430	2743	313	60100	31300	6010	0	37310	36039
3518329	2430	2739	309	60100	30900	6010	0	36910	35649
4518332	2430	2735	305	60100	30500	6010	-1000	35510	36334
5518341	2430	2732	302	60100	30200	6010	0	36210	35938
6518344	2430	2728	298	60100	29800	6010	-1000	34810	35646
7518321	2430	2725	295	60100	29500	6010	0	35510	34269
8518325	2430	2721	291	60100	29100	6010	-1000	34110	34959
9518334	2430	2718	288	60100	28800	6010	0	34810	33580
518338	2430	2715	285	60100	28500	6010	0	34510	34270
1518338	2430	2711	281	60100	28100	6010	-1000	33110	33972
2518345	2430	2708	278	60100	27800	6010	0	33810	32593
3518348	2430	2705	275	60100	27500	6010	0	33510	32300
4518319	2430	2702	272	60100	27200	6010	0	33210	31997
5518322	2430	2699	269	60100	26900	6010	0	32910	31703
6518325	2430	2696	266	60100	26600	6010	0	32610	31408
7518329	2430	2693	263	60100	26300	6010	0	32310	31112
8518333	2430	2690	260	60100	26000	6010	-1000	31010	31902
9518342	2430	2687	257	60100	25700	6010	-1000	30710	31606
518319	2430	2685	255	60100	25500	6010	0	31510	31307
1518318	2430	2682	252	60100	25200	6010	0	31210	30022
2518320	2430	2679	249	60100	24900	6010	-1000	29910	30813
3518326	2430	2677	247	60100	24700	6010	0	30710	30516
4518329	2430	2674	244	60100	24400	6010	-1000	29410	30318
5518337	2430	2672	242	60100	24200	6010	0	30210	30021
6518340	2430	2670	240	60100	24000	6010	0	30010	29820
7518343	2430	2667	237	60100	23700	6010	0	29710	28536
8518347	2430	2665	235	60100	23500	6010	0	29510	29328
9518319	2430	2662	232	60100	23200	6010	-1000	28210	29129
518327	2430	2660	230	60100	23000	6010	0	29010	27840
1518327	2430	2658	228	60100	22800	6010	0	28810	28632
2518329	2430	2656	226	60100	22600	6010	0	28610	28433
3518331	2430	2654	224	60100	22400	6010	0	28410	28238
4518333	2430	2652	222	60100	22200	6010	0	28210	28036
5518336	2430	2650	220	60100	22000	6010	0	28010	27841
6518340	2430	2647	217	60100	21700	6010	-1000	26710	27644
7518348	2430	2645	215	60100	21500	6010	-1000	26510	27440
8518324	2430	2644	214	60100	21400	6010	0	27410	27247
9518328	2430	2642	212	60100	21200	6010	0	27210	27046
518332	2430	2640	210	60100	21000	6010	0	27010	26849
1518332	2430	2638	208	60100	20800	6010	0	26810	26651
2518333	2430	2636	206	60100	20600	6010	0	26610	25459
3518335	2430	2634	204	60100	20400	6010	-1000	25410	26354
4518342	2430	2633	203	60100	20300	6010	0	26310	26154
5518345	2430	2631	201	60100	20100	6010	0	26110	25952
6518347	2430	2629	199	60100	19900	6010	-1000	24910	25854
7518323	2430	2628	198	60100	19800	6010	0	25810	25654
8518326	2430	2626	196	60100	19600	6010	0	25610	24463
9518330	2430	2625	195	60100	19500	6010	0	25510	25361
518333	2430	2623	193	60100	19300	6010	0	25310	25162
1518331	2430	2622	192	60100	19200	6010	0	25210	25062
2518332	2430	2620	190	60100	19000	6010	0	25010	23869
3518334	2430	2619	189	60100	18900	6010	0	24910	24761
4518335	2430	2617	187	60100	18700	6010	0	24710	23572
5518338	2430	2616	186	60100	18600	6010	0	24610	24462
6518340	2430	2615	185	60100	18500	6010	0	24510	24367
7518343	2430	2613	183	60100	18300	6010	0	24310	23175
8518346	2430	2612	182	60100	18200	6010	0	24210	24070
9518349	2430	2611	181	60100	18100	6010	0	24110	23970
518320	2430	2609	179	60100	17900	6010	-1000	22910	23872
1518323	2430	2608	178	60100	17800	6010	0	23810	22678
2518324	2430	2607	177	60100	17700	6010	0	23710	23567
3518325	2430	2606	176	60100	17600	6010	0	23610	23471
4518328	2430	2605	175	60100	17500	6010	0	23510	23374
5518330	2430	2604	174	60100	17400	6010	0	23410	23274
6518332	2430	2602	172	60100	17200	6010	-1000	22210	23171
7518340	2430	2601	171	60100	17100	6010	-1000	22110	23074
8518348	2430	2600	170	60100	17000	6010	0	23010	22875
9518319	2430	2599	169	60100	16900	6010	0	22910	21782
518322	2430	2598	168	60100	16800	6010	0	22810	22677
1518321	2430	2597	167	60100	16700	6010	0	22710	22576
2518322	2430	2596	166	60100	16600	6010	0	22610	22479
3518323	2430	2595	165	60100	16500	6010	0	22510	22381
4518325	2430	2594	164	60100	16400	6010	0	22410	22282
5518327	2430	2593	163	60100	16300	6010	0	22310	22179
6518330	2430	2592	162	60100	16200	6010	0	22210	22080
7518333	2430	2592	162	60100	16200	6010	0	22210	23078
8518336	2430	2591	161	60100	16100	6010	1000	23110	20888
9518343	2430	2590	160	60100	16000	6010	0	22010	21882
518346	2430	2589	159	60100	15900	6010	0	21910	21785
1518345	2430	2588	158	60100	15800	6010	0	21810	21685
2518345	2430	2587	157	60100	15700	6010	0	21710	21583
3518346	2430	2586	156	60100	15600	6010	0	21610	21485
4518348	2430	2586	156	60100	15600	6010	0	21610	21482
5518318	2430	2585	155	60100	15500	6010	0	21510	21389
6518320	2430	2584	154	60100	15400	6010	0	21410	21287
7518322	2430	2583	153	60100	15300	6010	0	21310	20190
8518325	2430	2582	152	60100	15200	6010	-1000	20210	21185
9518332	2430	2582	152	60100	15200	6010	0	21210	21087
518335	2430	2581	151	60100	15100	6010	0	21110	20986
1518334	2430	2580	150	60100	15000	6010	0	21010	20886
2518334	2430	2580	150	60100	15000	6010	0	21010	20885
3518335	2430	2579	149	60100	14900	6010	0	20910	20788
4518336	2430	2578	148	60100	14800	6010	0	20810	20691
5518338	2430	2578	148	60100	14800	6010	0	20810	20691
6518340	2430	2577	147	60100	14700	6010	0	20710	20591
7518342	2430	2576	146	60100	14600	6010	-1000	19610	21585
8518317	2430	2576	146	60100	14600	6010	0	20610	20490
9518320	2430	2575	145	60100	14500	6010	0	20510	20394
518322	2430	2574	144	60100	14400	6010	-1000	19410	20391
1518325	2430	2574	144	60100	14400	6010	0	20410	20291
2518325	2430	2573	143	60100	14300	6010	0	20310	19196
3518325	2430	2573	143	60100	14300	6010	0	20310	20193
4518326	2430	2572	142	60100	14200	6010	0	20210	20091
5518328	2430	2572	142	60100	14200	6010	0	20210	20093
6518329	2430	2571	141	60100	14100	6010	0	20110	19994
7518331	2430	2571	141	60100	14100	6010	0	20110	19993
8518333	2430	2570	140	60100	14000	6010	0	20010	19893
9518335	2430	2570	140	60100	14000	6010	0	20010	19893
518337	2430	2569	139	60100	13900	6010	0	19910	19792
1518336	2430	2569	139	60100	13900	6010	0	19910	19794
2518335	2430	2568	138	60100	13800	6010	0	19810	19695
3518336	2430	2568	138	60100	13800	6010	0	19810	19695
4518337	2430	2567	137	60100	13700	6010	0	19710	19591
5518338	2430	2567	137	60100	13700	6010	0	19710	19597
6518340	2430	2566	136	60100	13600	6010	0	19610	19499
7518342	2430	2566	136	60100	13600	6010	0	19610	19501
8518344	2430	2565	135	60100	13500	6010	0	19510	18404
9518346	2430	2565	135	60100	13500	6010	0	19510	19397
518348	2430	2565	135	60100	13500	6010	0	19510	19398
1518346	2430	2564	134	60100	13400	6010	0	19410	19301
2518346	2430	2564	134	60100	13400	6010	0	19410	19301
3518347	2430	2563	133	60100	13300	6010	0	19310	18202
4518348	2430	2563	133	60100	13300	6010	0	19310	19199
5518317	2430	2562	132	60100	13200	6010	-1000	18210	19198
6518323	2430	2562	132	60100	13200	6010	0	19210	19101
7518325	2430	2562	132	60100	13200	6010	0	19210	19102
8518327	2430	2561	131	60100	13100	6010	-1000	18110	20092
9518335	2430	2561	131	60100	13100	6010	0	19110	19003
518337	2430	2561	131	60100	13100	6010	0	19110	19000
1518335	2430	2560	130	60100	13000	6010	0	19010	18898
2518334	2430	2560	130	60100	13000	6010	0	19010	18898
3518335	2430	2560	130	60100	13000	6010	0	19010	18897
4518336	2430	2559	129	60100	12900	6010	0	18910	18803
5518337	2430	2559	129	60100	12900	6010	0	18910	18806
6518338	2430	2559	129	60100	12900	6010	0	18910	18800
7518340	2430	2558	128	60100	12800	6010	0	18810	18705
8518341	2430	2558	128	60100	12800	6010	0	18810	18706
9518344	2430	2558	128	60100	12800	6010	0	18810	18704
518346	2430	2557	127	60100	12700	6010	0	18710	18605
1518343	2430	2557	127	60100	12700	6010	0	18710	18602
2518343	2430	2557	127	60100	12700	6010	0	18710	18600
3518343	2430	2556	126	60100	12600	6010	-1000	17610	18602
4518348	2430	2556	126	60100	12600	6010	0	18610	18504
5518317	2430	2556	126	60100	12600	6010	0	18610	18501
6518319	2430	2556	126	60100	12600	6010	0	18610	18501
7518320	2430	2555	125	60100	12500	6010	0	18510	18403
8518322	2430	2555	125	60100	12500	6010	0	18510	18405
9518324	2430	2555	125	60100	12500	6010	0	18510	18408
518326	2430	2554	124	60100	12400	6010	0	18410	17310
1518324	2430	2554	124	60100	12400	6010	0	18410	18303
2518323	2430	2554	124	60100	12400	6010	0	18410	18303
3518323	2430	2554	124	60100	12400	6010	0	18410	18303
4518324	2430	2553	123	60100	12300	6010	0	18310	17209
5518325	2430	2553	123	60100	12300	6010	0	18310	18202
6518326	2430	2553	123	60100	12300	6010	0	18310	18206
7518328	2430	2553	123	60100	12300	6010	0	18310	18207
8518329	2430	2553	123	60100	12300	6010	0	18310	19201
9518331	2430	2552	122	60100	12200	6010	0	18210	18103
518333	2430	2552	122	60100	12200	6010	0	18210	18104
1518331	2430	2552	122	60100	12200	6010	0	18210	18107
2518330	2430	2551	121	60100	12100	6010	0	18110	17009
3518330	2430	2551	121	60100	12100	6010	0	18110	18004
4518331	2430	2551	121	60100	12100	6010	0	18110	18007
5518332	2430	2551	121	60100	12100	6010	0	18110	18005
6518334	2430	2551	121	60100	12100	6010	0	18110	18006
7518335	2430	2550	120	60100	12000	6010	-1000	17010	19003
8518342	2430	2550	120	60100	12000	6010	0	18010	17905
9518343	2430	2550	120	60100	12000	6010	0	18010	17905
518345	2430	2550	120	60100	12000	6010	0	18010	17908
1518343	2430	2550	120	60100	12000	6010	0	18010	17906
2518343	2430	2549	119	60100	11900	6010	0	17910	17808
3518343	2430	2549	119	60100	11900	6010	0	17910	17807
4518343	2430	2549	119	60100	11900	6010	0	17910	17805
5518344	2430	2549	119	60100	11900	6010	0	17910	17806
6518346	2430	2548	118	60100	11800	6010	-1000	16810	17808
7518320	2430	2548	118	60100	11800	6010	0	17810	17709
8518322	2430	2548	118	60100	11800	6010	0	17810	17707
9518323	2430	2548	118	60100	11800	6010	0	17810	17706
518325	2430	2548	118	60100	11800	6010	0	17810	17711
1518323	2430	2548	118	60100	11800	6010	0	17810	17707
2518323	2430	2547	117	60100	11700	6010	0	17710	16615
3518323	2430	2547	117	60100	11700	6010	0	17710	17606
4518324	2430	2547	117	60100	11700	6010	0	17710	17609
5518325	2430	2547	117	60100	11700	6010	0	17710	17608
6518326	2430	2547	117	60100	11700	6010	0	17710	17607
7518327	2430	2547	117	60100	11700	6010	0	17710	17609
8518329	2430	2546	116	60100	11600	6010	0	17610	17509
9518331	2430	2546	116	60100	11600	6010	0	17610	17506
518333	2430	2546	116	60100	11600	6010	0	17610	17507
1518331	2430	2546	116	60100	11600	6010	0	17610	17506
2518330	2430	2546	116	60100	11600	6010	0	17610	17507
3518330	2430	2546	116	60100	11600	6010	0	17610	17510
4518331	2430	2546	116	60100	11600	6010	0	17610	17505
5518332	2430	2545	115	60100	11500	6010	0	17510	17407
6518334	2430	2545	115	60100	11500	6010	0	17510	17410
7518335	2430	2545	115	60100	11500	6010	0	17510	17407
8518337	2430	2545	115	60100	11500	6010	0	17510	17408
9518339	2430	2545	115	60100	11500	6010	0	17510	17410
518340	2430	2545	115	60100	11500	6010	0	17510	17406
1518338	2430	2544	114	60100	11400	6010	-1000	16410	17409
2518343	2430	2544	114	60100	11400	6010	0	17410	17311
3518343	2430	2544	114	60100	11400	6010	0	17410	17310
4518343	2430	2544	114	60100	11400	6010	0	17410	17311
5518344	2430	2544	114	60100	11400	6010	0	17410	17307
6518346	2430	2544	114	60100	11400	6010	0	17410	17306
7518347	2430	2544	114	60100	11400	6010	0	17410	17307
8518317	2430	2543	113	60100	11300	6010	-1000	16310	18301
9518324	2430	2543	113	60100	11300	6010	0	17310	17210
518325	2430	2543	113	60100	11300	6010	0	17310	17208
1518323	2430	2543	113	60100	11300	6010	0	17310	17210
2518323	2430	2543	113	60100	11300	6010	0	17310	17211
3518323	2430	2543	113	60100	11300	6010	0	17310	17212
4518324	2430	2543	113	60100	11300	6010	0	17310	17211
5518325	2430	2542	112	60100	11200	6010	0	17210	16117
6518326	2430	2542	112	60100	11200	6010	0	17210	17110
7518328	2430	2542	112	60100	11200	6010	0	17210	17110
8518329	2430	2542	112	60100	11200	6010	0	17210	17111
9518331	2430	2542	112	60100	11200	6010	0	17210	17110
518333	2430	2542	112	60100	11200	6010	0	17210	17112
1518331	2430	2542	112	60100	11200	6010	0	17210	17109
2518330	2430	2542	112	60100	11200	6010	0	17210	17112
3518330	2430	2541	111	60100	11100	6010	-1000	16110	17111
4518336	2430	2542	112	60100	11200	6010	1000	18210	17011
5518341	2430	2541	111	60100	11100	6010	0	17110	17016
6518343	2430	2541	111	60100	11100	6010	0	17110	17013
7518344	2430	2541	111	60100	11100	6010	0	17110	17013
8518346	2430	2541	111	60100	11100	6010	0	17110	17009
9518348	2430	2541	111	60100	11100	6010	0	17110	17008
518317	2430	2541	111	60100	11100	6010	0	17110	17010
1518347	2430	2541	111	60100	11100	6010	0	17110	17009
2518347	2430	2540	110	60100	11000	6010	-1000	16010	17015
3518319	2430	2540	110	60100	11000	6010	0	17010	16912
4518320	2430	2540	110	60100	11000	6010	0	17010	16909
5518321	2430	2540	110	60100	11000	6010	0	17010	16916
6518323	2430	2540	110	60100	11000	6010	0	17010	16913
7518324	2430	2540	110	60100	11000	6010	0	17010	16914
8518326	2430	2540	110	60100	11000	6010	0	17010	16915
9518328	2430	2540	110	60100	11000	6010	0	17010	16912
518329	2430	2540	110	60100	11000	6010	0	17010	16909
1518327	2430	2539	109	60100	10900	6010	-1000	15910	16913
2518331	2430	2539	109	60100	10900	6010	0	16910	16812
3518331	2430	2539	109	60100	10900	6010	0	16910	16813
4518332	2430	2539	109	60100	10900	6010	0	16910	16814
5518333	2430	2539	109	60100	10900	6010	0	16910	16814
6518334	2430	2539	109	60100	10900	6010	0	16910	16814
7518335	2430	2539	109	60100	10900	6010	0	16910	16813
8518336	2430	2539	109	60100	10900	6010	0	16910	16811
9518338	2430	2539	109	60100	10900	6010	0	16910	16816
518340	2430	2539	109	60100	10900	6010	0	16910	16816
1518338	2430	2538	108	60100	10800	6010	-1000	15810	16815
2518342	2430	2538	108	60100	10800	6010	-1000	15810	17806
3518346	2430	2538	108	60100	10800	6010	0	16810	16711
4518346	2430	2538	108	60100	10800	6010	0	16810	16714
5518347	2430	2538	108	60100	10800	6010	0	16810	16711
6518348	2430	2538	108	60100	10800	6010	0	16810	16713
7518318	2430	2538	108	60100	10800	6010	0	16810	16714
8518319	2430	2538	108	60100	10800	6010	0	16810	16711
9518321	2430	2538	108	60100	10800	6010	0	16810	16711
518322	2430	2538	108	60100	10800	6010	0	16810	16714
1518320	2430	2538	108	60100	10800	6010	0	16810	16713
2518319	2430	2538	108	60100	10800	6010	0	16810	16714
3518319	2430	2537	107	60100	10700	6010	-1000	15710	17704
4518324	2430	2537	107	60100	10700	6010	0	16710	16616
5518325	2430	2537	107	60100	10700	6010	0	16710	16612
6518326	2430	2537	107	60100	10700	6010	0	16710	16618
7518327	2430	2537	107	60100	10700	6010	0	16710	16613
8518328	2430	2537	107	60100	10700	6010	0	16710	16616
9518330	2430	2537	107	60100	10700	6010	0	16710	16615
518331	2430	2537	107	60100	10700	6010	0	16710	16613
1518329	2430	2537	107	60100	10700	6010	0	16710	16611
2518328	2430	2537	107	60100	10700	6010	0	16710	16611
3518328	2430	2537	107	60100	10700	6010	0	16710	16612
4518328	2430	2537	107	60100	10700	6010	1000	17710	15520
5518334	2430	2536	106	60100	10600	6010	0	16610	16510
6518335	2430	2536	106	60100	10600	6010	0	16610	16515
7518336	2430	2536	106	60100	10600	6010	0	16610	16516
8518337	2430	2536	106	60100	10600	6010	0	16610	16516
9518339	2430	2536	106	60100	10600	6010	0	16610	16514
518340	2430	2536	106	60100	10600	6010	0	16610	16519
1518338	2430	2536	106	60100	10600	6010	0	16610	16513
2518337	2430	2536	106	60100	10600	6010	0	16610	16516
3518337	2430	2536	106	60100	10600	6010	0	16610	16515
4518337	2430	2536	106	60100	10600	6010	0	16610	16512
5518338	2430	2536	106	60100	10600	6010	0	16610	16511
6518339	2430	2536	106	60100	10600	6010	0	16610	16516
7518340	2430	2535	105	60100	10500	6010	0	16510	16415
8518341	2430	2535	105	60100	10500	6010	0	16510	16419
9518343	2430	2535	105	60100	10500	6010	0	16510	16417
518345	2430	2535	105	60100	10500	6010	0	16510	16416
1518342	2430	2535	105	60100	10500	6010	0	16510	16415
2518341	2430	2535	105	60100	10500	6010	0	16510	16416
3518341	2430	2535	105	60100	10500	6010	0	16510	16417
4518342	2430	2535	105	60100	10500	6010	0	16510	16415
5518343	2430	2535	105	60100	10500	6010	0	16510	16415
6518344	2430	2535	105	60100	10500	6010	0	16510	16414
7518345	2430	2535	105	60100	10500	6010	0	16510	17407
8518346	2430	2535	105	60100	10500	6010	1000	17510	15319
9518320	2430	2535	105	60100	10500	6010	1000	17510	15321
518326	2430	2534	104	60100	10400	6010	0	16410	16310
1518323	2430	2534	104	60100	10400	6010	0	16410	16316
2518323	2430	2534	104	60100	10400	6010	0	16410	16320
3518323	2430	2534	104	60100	10400	6010	0	16410	16315
4518323	2430	2534	104	60100	10400	6010	0	16410	16314
5518324	2430	2534	104	60100	10400	6010	0	16410	16316
6518325	2430	2534	104	60100	10400	6010	0	16410	16317
7518327	2430	2534	104	60100	10400	6010	0	16410	16316
8518328	2430	2534	104	60100	10400	6010	0	16410	16314
9518330	2430	2534	104	60100	10400	6010	0	16410	16316
518331	2430	2534	104	60100	10400	6010	0	16410	16320
1518329	2430	2534	104	60100	10400	6010	0	16410	16316
2518328	2430	2534	104	60100	10400	6010	0	16410	16315
3518328	2430	2533	103	60100	10300	6010	0	16310	16216
4518329	2430	2533	103	60100	10300	6010	0	16310	16213
5518329	2430	2533	103	60100	10300	6010	0	16310	16219
6518330	2430	2533	103	60100	10300	6010	0	16310	16215
7518332	2430	2533	103	60100	10300	6010	0	16310	16212
8518333	2430	2533	103	60100	10300	6010	0	16310	16215
9518335	2430	2533	103	60100	10300	6010	0	16310	16217
518337	2430	2533	103	60100	10300	6010	0	16310	16214
1518334	2430	2533	103	60100	10300	6010	0	16310	16218
2518333	2430	2533	103	60100	10300	6010	0	16310	16218
3518333	2430	2533	103	60100	10300	6010	0	16310	16216
4518334	2430	2533	103	60100	10300	6010	0	16310	16217
5518335	2430	2533	103	60100	10300	6010	1000	17310	15122
6518340	2430	2533	103	60100	10300	6010	0	16310	16219
7518341	2430	2532	102	60100	10200	6010	-1000	15210	16221
8518347	2430	2532	102	60100	10200	6010	0	16210	16116
9518317	2430	2532	102	60100	10200	6010	0	16210	16117
518318	2430	2532	102	60100	10200	6010	0	16210	16118
1518348	2430	2532	102	60100	10200	6010	0	16210	16117
2518347	2430	2532	102	60100	10200	6010	0	16210	16120
3518346	2430	2532	102	60100	10200	6010	0	16210	16119
4518347	2430	2532	102	60100	10200	6010	0	16210	16121
5518347	2430	2532	102	60100	10200	6010	0	16210	16120
6518348	2430	2532	102	60100	10200	6010	0	16210	16116
7518317	2430	2532	102	60100	10200	6010	0	16210	16115
8518318	2430	2532	102	60100	10200	6010	0	16210	16119
9518320	2430	2532	102	60100	10200	6010	0	16210	16114
518321	2430	2532	102	60100	10200	6010	0	16210	16114
1518318	2430	2532	102	60100	10200	6010	0	16210	16116
2518317	2430	2531	101	60100	10100	6010	-1000	15110	17110
3518322	2430	2531	101	60100	10100	6010	-1000	15110	16120
4518327	2430	2531	101	60100	10100	6010	0	16110	16016
5518327	2430	2531	101	60100	10100	6010	0	16110	16020
6518328	2430	2531	101	60100	10100	6010	0	16110	16018
7518329	2430	2531	101	60100	10100	6010	0	16110	16014
8518330	2430	2531	101	60100	10100	6010	0	16110	16017
9518332	2430	2531	101	60100	10100	6010	0	16110	16016
518333	2430	2531	101	60100	10100	6010	0	16110	16019
1518330	2430	2531	101	60100	10100	6010	0	16110	16015
2518329	2430	2531	101	60100	10100	6010	0	16110	16018
3518329	2430	2531	101	60100	10100	6010	0	16110	16016
4518329	2430	2531	101	60100	10100	6010	0	16110	16016
5518330	2430	2531	101	60100	10100	6010	0	16110	16017
6518330	2430	2531	101	60100	10100	6010	0	16110	16018
7518331	2430	2531	101	60100	10100	6010	0	16110	16013
8518332	2430	2531	101	60100	10100	6010	0	16110	16022
9518333	2430	2531	101	60100	10100	6010	0	16110	16016
518335	2430	2531	101	60100	10100	6010	1000	17110	15921
1518337	2430	2530	100	60100	10000	6010	0	16010	15916
2518335	2430	2530	100	60100	10000	6010	0	16010	15919
